DPTO_NORM,ANIO,PROYECCION_LINEAL,PROYECCION_GEOMETRICA,DIFERENCIA_ABS,DIFERENCIA_PCT_SOBRE_GEOM
MISIONES,2031,33916.05000000005,22011.260231272863,11904.789768727183,54.084998512776004
MISIONES,2032,34196.09999999998,21503.68094724255,12692.419052757428,59.02440184030445
PARAGUARI,2023,56290.109999999986,42963.47611527166,13326.633884728326,31.01851872733194
PARAGUARI,2024,56431.01999999996,41033.707093800425,15397.312906199535,37.52357268379936
PARAGUARI,2025,56571.92999999999,39190.6165446725,17381.313455327494,44.35070174391089
PARAGUARI,2026,56712.83999999997,37430.31117419099,19282.52882580898,51.51581224124233
PARAGUARI,2027,56853.75,35749.07256178953,21104.67743821047,59.035594284950065
PARAGUARI,2028,56994.659999999974,34143.34930534319,22851.310694656786,66.92756029965906
PARAGUARI,2029,57135.57000000001,32609.74951928439,24525.820480715618,75.2100854568411
PARAGUARI,2030,57276.47999999998,31145.03366967736,26131.446330322622,83.90245009034638
PARAGUARI,2031,57417.390000000014,29746.10773111584,27671.282268884173,93.02488419329799
PARAGUARI,2032,57558.29999999999,28410.016650989084,29148.283349010904,102.59861409829945
ALTO PARANA,2023,231127.3099999996,203818.11411090146,27309.195889098133,13.398807072779931
ALTO PARANA,2024,234978.81999999937,203184.20593250534,31794.614067494025,15.648172022807572
ALTO PARANA,2025,238830.32999999914,202552.269313803,36278.06068619614,17.91046864549938
ALTO PARANA,2026,242681.83999999985,201922.29812291637,40759.54187708348,20.18575573672992
ALTO PARANA,2027,246533.34999999963,201294.2862470386,45239.063752961025,22.474092333371722
ALTO PARANA,2028,250384.8599999994,200668.22759237466,49716.63240762474,24.775537714229536
ALTO PARANA,2029,254236.36999999918,200044.1160840823,54192.25391591687,27.090151400973394
ALTO PARANA,2030,258087.8799999999,199421.945666213,58665.93433378689,29.417993159078055
ALTO PARANA,2031,261939.38999999966,198801.71030165313,63137.67969834653,31.75912299876301
ALTO PARANA,2032,265790.89999999944,198183.40397206566,67607.49602793378,34.113601175940644
CENTRAL,2023,564878.5700000003,492831.6537074827,72046.91629251762,14.618970950936655
CENTRAL,2024,574754.1400000006,489688.48253722745,85065.65746277315,17.37138211256709
CENTRAL,2025,584629.7100000009,486565.3578167715,98064.3521832294,20.154404872399077
CENTRAL,2026,594505.2800000012,483462.15169429634,111043.12830570486,22.968318805630073
CENTRAL,2027,604380.8500000015,480378.73713339434,124002.11286660715,25.813405815289762
CENTRAL,2028,614256.4200000018,477314.9879078677,136941.43209213408,28.689950150605114
CENTRAL,2029,624131.9900000021,474270.7785965616,149861.2114034405,31.59823842550501
CENTRAL,2030,634007.5599999987,471245.9845782292,162761.57542176946,34.538559637265244
CENTRAL,2031,643883.129999999,468240.4820264309,175642.64797356806,37.511205185299104
CENTRAL,2032,653758.6999999993,465254.1479044643,188504.55209553498,40.516468890083424
NEEMBUCU,2023,18820.000000000004,15644.771790423696,3175.2282095763076,20.295778373193613
NEEMBUCU,2024,18842.800000000007,15160.04238924974,3682.7576107502664,24.292528452042962
NEEMBUCU,2025,18865.600000000002,14690.331589529995,4175.268410470007,28.42187996250391
NEEMBUCU,2026,18888.400000000005,14235.174062796465,4653.2259372035405,32.688226478134304
NEEMBUCU,2027,18911.2,13794.118898074277,5117.0811019257235,37.09610696947154
